Bin Id	MAG
metabat2_refined_bins.tsv.001	MAG24001
metabat2_refined_bins.tsv.002	MAG24002
metabat2_refined_bins.tsv.006	MAG24003
metabat2_refined_bins.tsv.011	MAG24004
metabat2_refined_bins.tsv.012	MAG24005
metabat2_refined_bins.tsv.015	MAG24006
metabat2_refined_bins.tsv.018_sub	MAG24007
metabat2_refined_bins.tsv.019	MAG24008
metabat2_refined_bins.tsv.021	MAG24009
metabat2_refined_bins.tsv.022	MAG24010
metabat2_refined_bins.tsv.024	MAG24011
metabat2_refined_bins.tsv.033	MAG24012
metabat2_refined_bins.tsv.038	MAG24013
metabat2_refined_bins.tsv.039	MAG24014
metabat_sens_bins.tsv.002	MAG24015
metabat_sens_bins.tsv.010_sub	MAG24016
metabat_sens_bins.tsv.012_sub	MAG24017
metabat_sens_bins.tsv.019	MAG24018
metabat_sens_bins.tsv.020	MAG24019
rosella_refined_bins.tsv.019_sub	MAG24020
rosella_refined_bins.tsv.048_sub	MAG24021
rosella_refined_bins.tsv.053	MAG24022
rosella_refined_bins.tsv.072	MAG24023
semibin_refined_bins.tsv.003	MAG24024
semibin_refined_bins.tsv.004	MAG24025
semibin_refined_bins.tsv.008	MAG24026
semibin_refined_bins.tsv.017	MAG24027
semibin_refined_bins.tsv.019_sub	MAG24028
semibin_refined_bins.tsv.022	MAG24029
semibin_refined_bins.tsv.027	MAG24030
semibin_refined_bins.tsv.034_sub	MAG24031
rosella_dastool_refined_1_1	MAG24032
rosella_dastool_refined_1_10	MAG24033
rosella_dastool_refined_1_11	MAG24034
rosella_dastool_refined_1_12	MAG24035
rosella_dastool_refined_1_13	MAG24036
rosella_dastool_refined_1_14	MAG24037
rosella_dastool_refined_1_15	MAG24038
rosella_dastool_refined_1_16	MAG24039
rosella_dastool_refined_1_17	MAG24040
rosella_dastool_refined_1_2	MAG24041
rosella_dastool_refined_1_3	MAG24042
rosella_dastool_refined_1_4	MAG24043
rosella_dastool_refined_1_5	MAG24044
rosella_dastool_refined_1_6	MAG24045
rosella_dastool_refined_1_7	MAG24046
rosella_dastool_refined_1_8	MAG24047
rosella_dastool_refined_1_9	MAG24048
rosella_dastool_refined_1_unbinned	MAG24049
semibin_refined_bins.tsv.014	MAG24050
