Bin Id	MAG
metabat2_refined_bins.tsv.002	MAG23001
metabat2_refined_bins.tsv.011	MAG23002
metabat2_refined_bins.tsv.014	MAG23003
metabat2_refined_bins.tsv.016	MAG23004
metabat2_refined_bins.tsv.019	MAG23005
metabat2_refined_bins.tsv.024	MAG23006
metabat2_refined_bins.tsv.025	MAG23007
metabat2_refined_bins.tsv.033	MAG23008
metabat2_refined_bins.tsv.039	MAG23009
metabat2_refined_bins.tsv.041	MAG23010
metabat2_refined_bins.tsv.051	MAG23011
metabat2_refined_bins.tsv.059	MAG23012
metabat2_refined_bins.tsv.062	MAG23013
metabat2_refined_bins.tsv.069	MAG23014
metabat_sens_bins.tsv.003	MAG23015
metabat_sens_bins.tsv.010_sub	MAG23016
metabat_sens_bins.tsv.020	MAG23017
metabat_sens_bins.tsv.030_sub	MAG23018
metabat_sens_bins.tsv.031_sub	MAG23019
metabat_spec_bins.tsv.031_sub	MAG23020
metabat_sspec_bins.tsv.011_sub	MAG23021
metabat_sspec_bins.tsv.016	MAG23022
metabat_sspec_bins.tsv.020_sub	MAG23023
metabat_sspec_bins.tsv.022_sub	MAG23024
metabat_sspec_bins.tsv.027_sub	MAG23025
metabat_sspec_bins.tsv.030_sub	MAG23026
metabat_sspec_bins.tsv.037	MAG23027
rosella_refined_bins.tsv.005_sub	MAG23028
rosella_refined_bins.tsv.013_sub	MAG23029
rosella_refined_bins.tsv.015_sub	MAG23030
rosella_refined_bins.tsv.019_sub	MAG23031
rosella_refined_bins.tsv.025_sub	MAG23032
rosella_refined_bins.tsv.027_sub	MAG23033
rosella_refined_bins.tsv.069	MAG23034
rosella_refined_bins.tsv.074_sub	MAG23035
rosella_refined_bins.tsv.091	MAG23036
semibin_refined_bins.tsv.004	MAG23037
semibin_refined_bins.tsv.005	MAG23038
semibin_refined_bins.tsv.007	MAG23039
semibin_refined_bins.tsv.008	MAG23040
semibin_refined_bins.tsv.009	MAG23041
semibin_refined_bins.tsv.013	MAG23042
semibin_refined_bins.tsv.015	MAG23043
semibin_refined_bins.tsv.016	MAG23044
semibin_refined_bins.tsv.019_sub	MAG23045
semibin_refined_bins.tsv.028	MAG23046
semibin_refined_bins.tsv.029_sub	MAG23047
semibin_refined_bins.tsv.030	MAG23048
semibin_refined_bins.tsv.035	MAG23049
semibin_refined_bins.tsv.037	MAG23050
semibin_refined_bins.tsv.056_sub	MAG23051
