Bin Id	MAG
metabat2_refined_bins.tsv.001	MAG13001
metabat2_refined_bins.tsv.002	MAG13002
metabat2_refined_bins.tsv.006	MAG13003
metabat2_refined_bins.tsv.007	MAG13004
metabat2_refined_bins.tsv.008	MAG13005
metabat2_refined_bins.tsv.010	MAG13006
metabat2_refined_bins.tsv.011	MAG13007
metabat2_refined_bins.tsv.015_sub	MAG13008
metabat2_refined_bins.tsv.019_sub	MAG13009
metabat2_refined_bins.tsv.024_sub	MAG13010
metabat2_refined_bins.tsv.029_sub	MAG13011
metabat2_refined_bins.tsv.030	MAG13012
metabat2_refined_bins.tsv.031	MAG13013
metabat2_refined_bins.tsv.035	MAG13014
metabat2_refined_bins.tsv.036	MAG13015
metabat2_refined_bins.tsv.040_sub	MAG13016
metabat2_refined_bins.tsv.041	MAG13017
metabat2_refined_bins.tsv.042	MAG13018
metabat2_refined_bins.tsv.045	MAG13019
metabat_sens_bins.tsv.001_sub	MAG13020
metabat_sens_bins.tsv.013_sub	MAG13021
metabat_sens_bins.tsv.019_sub	MAG13022
metabat_sens_bins.tsv.022	MAG13023
metabat_sspec_bins.tsv.010_sub	MAG13024
metabat_sspec_bins.tsv.011_sub	MAG13025
metabat_sspec_bins.tsv.022_sub	MAG13026
rosella_refined_bins.tsv.006	MAG13027
rosella_refined_bins.tsv.051_sub	MAG13028
rosella_refined_bins.tsv.053_sub	MAG13029
rosella_refined_bins.tsv.054	MAG13030
rosella_refined_bins.tsv.057	MAG13031
semibin_refined_bins.tsv.001_sub	MAG13032
semibin_refined_bins.tsv.007	MAG13033
semibin_refined_bins.tsv.008	MAG13034
semibin_refined_bins.tsv.009	MAG13035
semibin_refined_bins.tsv.011	MAG13036
semibin_refined_bins.tsv.029_sub	MAG13037
semibin_refined_bins.tsv.036_sub	MAG13038
semibin_refined_bins.tsv.041	MAG13039
semibin_refined_bins.tsv.044_sub	MAG13040
semibin_refined_bins.tsv.047_sub	MAG13041
