transcript_id	S2C40_1	S2C40_2	S2C40_3	S2Glc_1	S2Glc_2	S2Glc_3
MAG24026_contig_164_1	-2.8529903380889503	-0.9538861642925945	-0.6596998040229194	0.1801860608744334	0.020071880032841882	1.037761736184685
MAG24026_contig_164_180	-7.4967188466275205	-5.8586320860271766	-5.457818433673043	-5.288360610822073	-7.373997172215864	-7.296982107087109
MAG24026_contig_164_182	-4.806582998220119	-7.561183571757587	-6.575804546776935	-7.403751944347628	-7.489317048981969	-7.370865681181105
MAG24026_contig_164_317	-3.08651962709102	-5.202452389953557	-3.7563445662129364	-3.592893112658368	-4.553168712663842	-2.05856911918211
MAG24026_contig_164_397	-3.3867806819330926	-4.6834037900234815	-2.801410298480892	-7.976772472639905	-8.377666329978943	-7.990458589419189
MAG24026_contig_164_423	0.17265392148984546	-1.5183042685415962	-1.157453941091799	-2.1160664382023975	-7.609977603102064	-1.2879483865665153
MAG24026_contig_164_437	-6.177704173730109	-5.123398738661516	-5.136391346134989	-3.068241312155092	-6.061001562935902	-4.173150141679314
MAG24026_contig_164_527	-6.418186393149565	-6.782346998941626	-5.383878724849145	-8.198731264471784	-7.864913310904697	-7.213596612521865
MAG24026_contig_164_739	-2.2550329429947	-2.746199476032187	-7.3158151345589655	-2.193377328424125	-6.695068034509987	-3.675452042816564
MAG24026_contig_164_865	-2.8529903380889503	-0.9538861642925945	-0.6596998040229194	0.1801860608744334	0.020071880032841882	1.037761736184685
MAG24026_contig_164_1141	-5.4101766975304235	-7.679695654246895	-4.887315345033062	-5.5202164771810764	-7.605712229112301	-5.530822524474833
MAG24026_contig_164_1482	-7.336405650241817	-6.994219978735931	-5.868089220926567	-3.7151694087609406	-5.801271513884728	-4.717253243496415
MAG24026_contig_164_1516	-6.724326736649257	-7.525453934516423	-7.539954417074873	-2.845110942468983	-3.2063354664805335	-2.91858401263858
MAG24026_contig_164_1553	-1.4387765240248842	-1.341621231458975	0.09913358650612264	-2.9624181692038296	-7.627615369155237	-2.8677943247994446
