transcript_id	S1C40_1	S1C40_2	S1C40_3	S1Glc_1	S1Glc_2	S1Glc_3
MAG14020_contig_19_118	-2.712286586327116	-3.901442458946995	-5.759127426091004	-1.0303363236291365	-1.1679833590561655	-1.8265194533453704
MAG14020_contig_19_179	-4.873820785852623	-4.684730985787519	-3.470893508039177	-3.571486233887704	-3.1288755131531163	-4.364985275265087
MAG14020_contig_19_212	-4.386925803587592	-5.468095283892405	-5.229919816837756	-4.569573408715324	-5.302194871989566	-4.3604558963584905
MAG14020_contig_19_487	-4.424424328884434	-4.883639502192851	-4.8425443718931644	-5.398914345803774	-6.290566778345233	-8.508232016211549
MAG14020_contig_19_609	-2.959385266666355	-4.063705880292387	-5.535023990879158	-2.7103213188939277	-2.227151537991765	-3.8836501494594446
MAG14020_contig_19_623	-3.598196551436018	-4.830479266284317	-3.521019500006107	-6.808839769321203	-6.921224046348015	-5.97396769407154
MAG14020_contig_19_655	-4.295654936711543	-5.054217326348527	-4.066746451675914	-6.731094438923524	-4.8822517713966755	-5.857000584242692
MAG14020_contig_19_676	-2.9712837569839547	-4.7414661207843825	-5.405660207071666	-3.86151263146636	-4.587376705667754	-5.241003063195352
MAG14020_contig_19_735	-3.3358536153239866	-5.185426936554853	-4.296868107326771	0.07447803448819075	-0.7811866005063264	-1.1516536829620405
MAG14020_contig_19_823	-3.024983263754503	-5.794457344428782	-4.599225254671566	-4.497787548285779	-4.639297270660177	-7.763162512366232
MAG14020_contig_19_829	-4.5486149265140945	-5.63339141560447	-5.242078442695844	-4.6283728932541255	-3.8463658522751687	-3.465645105970473
MAG14020_contig_19_845	-6.12218226280384	-3.1312121073541186	-5.073677905529427	-1.5316398162286715	-6.137447202034931	-2.2590189196015378
MAG14020_contig_19_850	-5.158671549599038	-5.337302290278188	-5.8255981236115355	-6.026444853847953	-6.173116307459403	-7.043568745341935
MAG14020_contig_19_999	-3.442451296204038	-4.629254516951223	-5.230630409864041	-3.0160976198546847	-3.8926045822250392	-3.325896631448636
MAG14020_contig_19_1136	-5.346846772668965	-5.517180622738924	-4.743068932503876	-7.50793000019727	-4.662047365860853	-7.295603371221123
MAG14020_contig_19_1243	-4.93849750848838	-6.119230794976806	-5.718821421388528	-2.2284896132236276	-3.958270312976092	-2.798386211248814
MAG14020_contig_19_1373	-4.8613343945057395	-4.622621670289727	-6.220912782888558	-6.14658902246116	-4.132947423399043	-6.09651494935943
MAG14020_contig_19_1391	-4.856407008146822	-5.032764092866916	-6.028913145392963	-3.7163882478770143	-4.128110942787627	-4.284368753842255
MAG14020_contig_19_1578	-4.296522193046666	-7.465262641282544	-5.739383652747996	-3.737829546232815	-4.285715967012393	-4.91709471195242
MAG14020_contig_19_1623	-7.064946451600737	-4.199728318978163	-5.249868955452967	-6.912205451707203	-7.206526098568217	-7.700932626960681
MAG14020_contig_19_1644	-5.328058126731368	-5.501488500600451	-5.640270806274112	3.1883819333192713	2.3170058882936684	1.917672343634332
MAG14020_contig_19_1735	9.980725107284016	9.335028518925277	9.051475427355054	2.948247605595105	-0.3929514462095755	-0.5180046818066547
MAG14020_contig_19_1771	-6.760671766764218	-6.345760987035817	-5.942200681168081	-2.7607632853230424	-2.583307236754047	-2.692063269348729
MAG14020_contig_19_1805	-4.27957792917563	-5.4571844965598455	-5.264696595259479	-5.143839421200562	-6.291414030359973	-7.2825329764216535
MAG14020_contig_19_1827	-4.196546779942106	-6.368622621168386	-5.380695553647348	-5.0417461758233335	-6.194278968712599	-5.830208373864243
MAG14020_contig_19_2000	-5.799044741427428	-5.981286073946579	-5.259361862333309	-1.8717752375324903	-1.2990667426301992	-1.9485026033062478
MAG14020_contig_19_2175	-4.1380668618646546	-4.312560855474505	-5.508138173758707	-2.9916335916426116	-2.6394806455866475	-3.665699008062063
MAG14020_contig_19_2214	-3.416906903815645	-3.4402556454930644	-4.0382646681069865	-4.8583851506131435	-3.592933151084683	-3.7738407186452996
MAG14020_contig_19_2362	-5.096870387809309	-5.856574187974681	-5.454404803569693	1.258157074937423	1.23842002607896	1.2439371244002504
MAG14020_contig_19_2387	-2.88687562718392	-1.67360531775359	-4.721934992907087	3.1714118139261442	1.316597600091168	1.498822725307151
MAG14020_contig_19_2395	-1.7403791987796855	-2.4843642408728535	-2.655316915815008	-6.366510661248835	-5.469711870801378	-7.691468942727803
MAG14020_contig_19_2396	-3.0669954875505328	-3.7143662582596666	-3.8952189243656727	-8.422308198216616	-6.578366595987133	-8.209008622452028
MAG14020_contig_19_2401	-0.7713943054863523	-1.1590316846885895	-1.0720064851655853	3.1714118139261442	1.316597600091168	1.498822725307151
MAG14020_contig_19_2423	-4.355719143313141	-4.852417163902283	-4.450254741744763	-4.947203518287533	-6.682271383256046	-5.321835765359259
MAG14020_contig_19_2441	-0.6257673128471344	-2.6839933193522176	-2.2844826135873113	-0.3855049862264011	-5.697596949060601	-3.1793839544368976
MAG14020_contig_19_2536	-3.806658225625371	-4.3607890377570095	-5.176368016266369	-3.940392203625019	-6.50176586641298	-4.467859017798928
MAG14020_contig_19_2560	-6.8324887410687545	-4.198998330914847	-5.018959867565687	-3.9376483596197285	-3.9278376593331696	-3.7726966039340417
MAG14020_contig_19_2578	-5.457374648446781	-4.215116150411177	-5.812368042406839	-1.3050075153083887	-3.1349838943335695	-3.1551869451157994
MAG14020_contig_19_2601	-4.361277015001051	-5.54928229179467	-5.236727079997639	-2.453565300749972	-1.3994257519687825	-1.412815537274982
MAG14020_contig_19_2629	-4.15466780609224	-5.550235170212319	-5.364240095346346	-6.811029351849748	-6.735804145634003	-4.792628861249829
MAG14020_contig_19_2670	-4.711091989340079	-4.15159791334064	-6.072159966039837	-3.8379281802334217	-3.9856241380521453	-5.950714962944439
MAG14020_contig_19_2895	-5.7440695739000525	-3.341977399819258	-5.66448144033021	-3.304390956872615	-2.9619010016675418	-4.834557001101578
MAG14020_contig_19_2905	-3.9155046243583222	-4.101489168017342	-5.2875884032714024	-2.2233468392858216	-3.211591580723897	-6.18597738063855
MAG14020_contig_19_2929	-4.398112290361457	-8.414740834738682	-12.268451701958071	-4.707491505423604	-4.260663410403087	-5.727066199253224
MAG14020_contig_19_2937	-7.259505714656461	-5.109386147270389	-4.913154350406202	-2.580215197132029	-2.4492017555641947	-3.0341366808976846
MAG14020_contig_19_2955	-6.017351636809678	-5.864789822407737	-6.782953761974246	-6.853147531815361	-5.661852686255768	-8.640380599215336
MAG14020_contig_19_2981	-2.1592668840307128	-3.6217159487017914	-4.403780039282115	-4.506162505120638	-6.517957840663928	-4.715368371254639
MAG14020_contig_19_2994	-4.644032930742839	-3.8220561917038514	-6.1028631431343	-0.8092890686645922	-3.4345432013033474	-2.715874428086075
MAG14020_contig_19_3273	-6.869250855316992	-7.0389972936906515	-6.635340616433078	-5.357337436633619	-7.861024943574021	-7.493780092033487
MAG14020_contig_19_3331	-4.602781461673407	-7.359858581692246	-3.4104838390822767	-5.448111747402018	-6.293694244310996	-7.821551878132727
MAG14020_contig_19_3465	-5.646267504501684	-7.4031535300441975	-7.000149586376531	-3.4909491704509894	-1.9066561767103938	-2.3407403302228222
MAG14020_contig_19_3554	-5.019614893702201	-6.779811522856764	-4.377786303130778	0.06286774055885516	-1.0868199032200334	-1.7587113790734528
MAG14020_contig_19_3645	-5.196546779942106	-4.561265996079276	-5.965658054368504	-5.456785259157526	-4.3869270650127925	-6.830205090631747
MAG14020_contig_19_3700	-6.140537988158707	-4.210871329514672	-5.91835059454828	-6.008863389623827	-7.295046942556447	-5.800306425129961
MAG14020_contig_19_3739	-3.710942734243303	-4.05653736267491	-1.555311732798934	-1.4276613280676127	-1.5360971916578419	-1.1090942083870545
MAG14020_contig_19_3918	-5.11244228848061	-4.280917869405838	-5.391464753494799	-4.459712394412623	-5.422882428848697	-5.731965232597434
MAG14020_contig_19_4102	-1.188792048961379	-2.0668625018804487	-3.470896707288405	-3.181764596693251	-5.505330026616025	-5.817663653538123
MAG14020_contig_19_4150	-6.460985949659417	-5.637199107873276	-5.705597044448367	-6.320474590729233	-5.853413242095488	-4.525825443771401
MAG14020_contig_65_230	-4.2431761648723265	-4.301870442546109	-4.7017093430061685	-4.587362832666294	-5.729888767085703	-7.0601015223279004
MAG14020_contig_65_333	-4.460626953726775	-4.410998994268023	-3.49366698246131	-6.8931690849119835	-4.460121969089856	-5.6819365745758414
MAG14020_contig_65_414	-4.934976839780254	-5.206191659555268	-5.25145083397807	-1.262579740008476	-1.6577456576341794	-1.6441673044361713
MAG14020_contig_65_466	-7.022674995503395	-6.195547234961617	-5.12100068497277	-6.870636260342887	-5.437488029194216	-5.337529779838559
MAG14020_contig_65_488	-3.939000927700132	-5.5422733424154025	-4.693906404677831	-2.6423151328054844	-2.4685711262852377	-3.4329390365659456
MAG14020_contig_65_531	-6.202383333906018	-4.745649356949316	-6.971467057074334	-5.047493469709863	-7.200054363349233	-6.83594573100072
MAG14020_contig_65_621	-3.6589861654702545	-3.203382312479167	-6.887980726431475	-3.057932212816123	-3.5320770071662326	-3.5835095730600495
MAG14015_contig_69_3	1.7878628684117495	2.015204947236474	-1.5000668843133838	2.2837499421319594	1.8760787918744954	0.534977940795833
MAG14015_contig_69_4	1.7132823003008117	1.5032265970840508	1.5736895968029465	3.543124644831909	2.424051372636461	2.474181618454805
MAG14015_contig_69_6	0.6480143865139875	0.4129440733687181	-0.8812230094357467	1.1677240149348047	1.1130003155145045	0.07347750967896816
MAG14015_contig_69_7	-0.6888387077323879	-1.5002505296148572	-1.6969943515945964	0.44087780299706897	-0.08524261982123123	-0.11056072431675731
MAG14015_contig_69_8	0.5323768106080824	-0.38668901143367773	-1.288452232209986	-0.4603458555608309	-0.28622149646913353	-0.5435554896027092
MAG14015_contig_69_9	-1.3430881564944157	-1.8398697680923348	-3.437728752699263	-0.27187921528014	-0.6698409060182527	-0.9344690467165587
MAG14015_contig_69_10	0.24984578129102566	0.09075860230849976	-0.40377851236944157	-0.03373492789010668	0.8453575678213023	0.4553758847524018
MAG14015_contig_69_11	0.2675597678806726	-0.10657876227510657	-0.14185822795651465	-0.8112977804719251	-0.2742309276716145	-0.8233631881076501
MAG14015_contig_69_12	-1.1059016783279918	-2.4285037505472076	-1.8918783831870891	-1.3676908311580163	-2.274229182950523	-4.24962743223248
MAG14015_contig_69_13	-1.1667714731162688	-2.151599195376692	-1.9846965538003947	-1.3524994373915367	-2.72259125583576	-1.8214319459994721
MAG14015_contig_69_14	2.0575369179327554	0.8096696202196725	0.18799572298111378	-0.9116901211443503	-0.8524458172039414	-0.9647702461676076
MAG14015_contig_69_15	0.07592961717117946	-0.692296368894069	-1.5691837844807668	-1.7034779848318722	-1.3890316423217999	-1.980039099682796
MAG14015_contig_69_16	-0.08052414088470583	-0.6808699826776585	-1.320605029051028	-1.6325707803746232	-1.4309639537053127	-2.280341654722448
MAG14015_contig_69_22	9.866646843024407	9.536672675120366	8.376077624315577	6.778510858739696	7.09038769667402	7.091784447200433
MAG14015_contig_69_23	5.103073749049886	4.988661966986326	3.833962777848287	2.118057333027955	2.2607001614947038	2.2541253631169678
MAG14015_contig_69_24	2.3662886384068895	2.2458029101495085	1.5222968479623313	1.2140688376492945	0.739035818179576	1.2099399007181924
MAG14015_contig_69_25	0.2826888819282882	0.1497796305759026	-1.250100224382775	-0.5176369983030792	-0.6290478938336913	-0.7903145740929286
MAG14015_contig_69_26	3.26205273873759	3.2844623113709703	3.1501014506578078	1.8565236347777494	1.7467384169184086	1.6919137715628558
MAG14015_contig_69_27	4.023406179690737	4.361585905902573	2.710606990566238	1.3060813810556489	1.3985747478006607	1.4949787531966403
MAG14015_contig_69_28	0.5411282187390334	0.2604472588736853	-0.7895986663341451	-0.16305952735799475	-0.07187303680682992	0.10101800226646318
MAG14015_contig_69_29	-0.6378005805525995	-0.71610192718956	-1.7856513455424443	0.11299364546491514	0.2893623404769398	-0.365337967052627
MAG14015_contig_69_30	-0.6058173483135704	-0.8289597455683301	-2.7509989135410673	-1.5692694071593298	-1.9920123104976217	-2.0574637253778816
MAG14015_contig_69_31	-0.23860237954069038	2.0753204041881577	-0.12890075340681292	4.28321802764913	4.797630402209296	4.9295685177470245
MAG14015_contig_69_32	0.2685541640335432	-3.7535443013794465	-1.647964698355598	4.547752106989736	4.745678357156774	4.641569149015103
MAG14015_contig_69_33	-0.1057883444049002	0.11927648627493596	-2.2415978888529433	1.1939294063705421	0.06996332646649699	-0.1088063734067228
