transcript_id	.y.	group1	group2	n1	n2	statistic	df	p
MAG102_contig_70_105	tpm	Glc	PELW	3	3	-1.110212116728731	2	0.383
MAG102_contig_70_1050	tpm	Glc	PELW	3	3	-0.4583765147573459	2	0.692
MAG102_contig_70_1051	tpm	Glc	PELW	3	3	-0.13187553198221108	2	0.907
MAG102_contig_70_1052	tpm	Glc	PELW	3	3	0.6676900802050942	2	0.573
MAG102_contig_70_1053	tpm	Glc	PELW	3	3	13.856116879144208	2	0.00517
MAG102_contig_70_1054	tpm	Glc	PELW	3	3	2.8140160300808295	2	0.106
MAG102_contig_70_1055	tpm	Glc	PELW	3	3	-2.9880068519794816	2	0.0961
MAG102_contig_70_1056	tpm	Glc	PELW	3	3	0.3391152004009907	2	0.767
MAG102_contig_70_1057	tpm	Glc	PELW	3	3	1.3825873230503822	2	0.301
MAG102_contig_70_1058	tpm	Glc	PELW	3	3	1.5044534732696806	2	0.271
MAG102_contig_70_1059	tpm	Glc	PELW	3	3	1.2815358901581597	2	0.329
MAG102_contig_70_106	tpm	Glc	PELW	3	3	0.7855995555678691	2	0.514
MAG102_contig_70_1060	tpm	Glc	PELW	3	3	0.9333920166275074	2	0.449
MAG102_contig_70_1061	tpm	Glc	PELW	3	3	1.3583066408532656	2	0.307
MAG102_contig_70_1062	tpm	Glc	PELW	3	3	1.132427313005794	2	0.375
MAG102_contig_70_1063	tpm	Glc	PELW	3	3	0.765680016670674	2	0.524
MAG102_contig_70_1064	tpm	Glc	PELW	3	3	1.5714644217584894	2	0.257
MAG102_contig_70_1065	tpm	Glc	PELW	3	3	1.0264243834896551	2	0.413
MAG102_contig_70_1066	tpm	Glc	PELW	3	3	1.2910478413168143	2	0.326
MAG102_contig_70_1067	tpm	Glc	PELW	3	3	1.2320597498360872	2	0.343
MAG102_contig_70_1068	tpm	Glc	PELW	3	3	1.5829468223919396	2	0.254
MAG102_contig_70_1069	tpm	Glc	PELW	3	3	1.1436052296597141	2	0.371
MAG102_contig_70_107	tpm	Glc	PELW	3	3	2.760863121647352	2	0.11
MAG102_contig_70_1070	tpm	Glc	PELW	3	3	1.095165602339477	2	0.388
MAG102_contig_70_1071	tpm	Glc	PELW	3	3	2.3003216612583772	2	0.148
MAG102_contig_70_1072	tpm	Glc	PELW	3	3	1.4573375949027643	2	0.282
MAG102_contig_70_1073	tpm	Glc	PELW	3	3	3.1763878058267982	2	0.0865
MAG102_contig_70_1074	tpm	Glc	PELW	3	3	1.1960903967898606	2	0.354
MAG102_contig_70_1075	tpm	Glc	PELW	3	3	2.529455395683268	2	0.127
MAG102_contig_70_1076	tpm	Glc	PELW	3	3	2.201922441112103	2	0.159
MAG102_contig_70_1077	tpm	Glc	PELW	3	3	2.2975492328419023	2	0.148
MAG102_contig_70_1078	tpm	Glc	PELW	3	3	4.792973654214617	2	0.0409
MAG102_contig_70_1079	tpm	Glc	PELW	3	3	7.146834622736217	2	0.019
MAG102_contig_70_108	tpm	Glc	PELW	3	3	0.8142369107915944	2	0.501
MAG102_contig_70_1080	tpm	Glc	PELW	3	3	-2.5885405631666147	2	0.122
MAG102_contig_70_1081	tpm	Glc	PELW	3	3	2.1024697257639144	2	0.17
MAG102_contig_70_1082	tpm	Glc	PELW	3	3	2.725157182104966	2	0.112
MAG102_contig_70_1083	tpm	Glc	PELW	3	3	3.1890070490313613	2	0.0859
MAG102_contig_70_1084	tpm	Glc	PELW	3	3	2.254628558495397	2	0.153
MAG102_contig_70_1085	tpm	Glc	PELW	3	3	14.527550696283601	2	0.0047
MAG102_contig_70_1086	tpm	Glc	PELW	3	3	-6.039858521111063	2	0.0263
MAG102_contig_70_1087	tpm	Glc	PELW	3	3	3.574514634489988	2	0.0701
MAG102_contig_70_1088	tpm	Glc	PELW	3	3	1.3828709514537387	2	0.301
MAG102_contig_70_1089	tpm	Glc	PELW	3	3	0.933685759531778	2	0.449
MAG102_contig_70_1090	tpm	Glc	PELW	3	3	4.26578617333129	2	0.0508
MAG102_contig_70_1091	tpm	Glc	PELW	3	3	7.261700625729844	2	0.0184
MAG102_contig_70_1092	tpm	Glc	PELW	3	3	2.4799629752587395	2	0.131
MAG102_contig_70_1093	tpm	Glc	PELW	3	3	4.752723934464709	2	0.0415
MAG102_contig_70_1094	tpm	Glc	PELW	3	3	1.9955198108515857	2	0.184
MAG102_contig_70_1095	tpm	Glc	PELW	3	3	2.1475180521197492	2	0.165
MAG102_contig_70_1096	tpm	Glc	PELW	3	3	3.190658646141189	2	0.0858
MAG102_contig_70_1097	tpm	Glc	PELW	3	3	3.6706688618882755	2	0.0669
MAG102_contig_70_1098	tpm	Glc	PELW	3	3	2.4497008067731225	2	0.134
MAG102_contig_70_1099	tpm	Glc	PELW	3	3	1.9006991876837298	2	0.198
MAG102_contig_70_110	tpm	Glc	PELW	3	3	1.6599250278284938	2	0.239
MAG102_contig_70_1100	tpm	Glc	PELW	3	3	1.6413489417054776	2	0.242
MAG102_contig_70_1101	tpm	Glc	PELW	3	3	1.396182572872133	2	0.297
MAG102_contig_70_1102	tpm	Glc	PELW	3	3	1.1756536909764108	2	0.361
