transcript_id	.y.	group1	group2	n1	n2	statistic	df	p
MAG14001_contig_180_10	tpm	C40	Glc	3	3	0.3540403808091672	2	0.757
MAG14001_contig_180_100	tpm	C40	Glc	3	3	3.2456355067351095	2	0.0832
MAG14001_contig_180_1000	tpm	C40	Glc	3	3	1.4087766813906737	2	0.294
MAG14001_contig_180_1001	tpm	C40	Glc	3	3	3.629768893879385	2	0.0682
MAG14001_contig_180_1002	tpm	C40	Glc	3	3	1.6478468852726014	2	0.241
MAG14001_contig_180_1003	tpm	C40	Glc	3	3	1.8461137798951663	2	0.206
MAG14001_contig_180_1004	tpm	C40	Glc	3	3	-0.22489067707684207	2	0.843
MAG14001_contig_180_1005	tpm	C40	Glc	3	3	-12.041745840213835	2	0.00683
MAG14001_contig_180_1006	tpm	C40	Glc	3	3	-4.444637336018753	2	0.0471
MAG14001_contig_180_1007	tpm	C40	Glc	3	3	8.42136459765046	2	0.0138
MAG14001_contig_180_1008	tpm	C40	Glc	3	3	-1.100552306797174	2	0.386
MAG14001_contig_180_1009	tpm	C40	Glc	3	3	-1.7120536271247901	2	0.229
MAG14001_contig_180_101	tpm	C40	Glc	3	3	5.125323327856487	2	0.036
MAG14001_contig_180_1010	tpm	C40	Glc	3	3	-1.6031506878018724	2	0.25
MAG14001_contig_180_1011	tpm	C40	Glc	3	3	2.137284698334372	2	0.166
MAG14001_contig_180_1012	tpm	C40	Glc	3	3	2.508222506101803	2	0.129
MAG14001_contig_180_1013	tpm	C40	Glc	3	3	2.093780331392581	2	0.171
MAG14001_contig_180_1014	tpm	C40	Glc	3	3	-0.7151610771677228	2	0.549
MAG14001_contig_180_1015	tpm	C40	Glc	3	3	0.6837842023438643	2	0.565
MAG14001_contig_180_1016	tpm	C40	Glc	3	3	-3.161872360551339	2	0.0871
MAG14001_contig_180_1017	tpm	C40	Glc	3	3	-8.745700722857498	2	0.0128
MAG14001_contig_180_1018	tpm	C40	Glc	3	3	-0.8692248473319725	2	0.476
MAG14001_contig_180_1019	tpm	C40	Glc	3	3	-0.2950516323647455	2	0.796
MAG14001_contig_180_102	tpm	C40	Glc	3	3	-0.6433593771402902	2	0.586
MAG14001_contig_180_1020	tpm	C40	Glc	3	3	1.5598783653241877	2	0.259
MAG14001_contig_180_1021	tpm	C40	Glc	3	3	3.974030855387961	2	0.0579
MAG14001_contig_180_1022	tpm	C40	Glc	3	3	0.7407128931491185	2	0.536
MAG14001_contig_180_1023	tpm	C40	Glc	3	3	0.05268282411922988	2	0.963
MAG14001_contig_180_1024	tpm	C40	Glc	3	3	0.3188818724729396	2	0.78
MAG14001_contig_180_1025	tpm	C40	Glc	3	3	1.501073509495318	2	0.272
MAG14001_contig_180_1026	tpm	C40	Glc	3	3	-0.8589255142295442	2	0.481
