transcript_id	.y.	group1	group2	n1	n2	statistic	df	p
MAG201_contig_1778_147	tpm	Glc	PELW	3	3	1.6625829212254282	2	0.238
MAG201_contig_1778_156	tpm	Glc	PELW	3	3	0.6821404796476074	2	0.566
MAG201_contig_1778_157	tpm	Glc	PELW	3	3	0.3778663538936834	2	0.742
MAG201_contig_1778_168	tpm	Glc	PELW	3	3	2.928128201708948	2	0.0995
MAG201_contig_1778_178	tpm	Glc	PELW	3	3	2.4937753897198496	2	0.13
MAG201_contig_1778_4	tpm	Glc	PELW	3	3	3.194284144045951	2	0.0856
MAG201_contig_1778_54	tpm	Glc	PELW	3	3	0.5636508454912129	2	0.63
MAG201_contig_1778_56	tpm	Glc	PELW	3	3	2.6314603719529708	2	0.119
MAG201_contig_1778_64	tpm	Glc	PELW	3	3	2.872880118200742	2	0.103
MAG201_contig_476_168	tpm	Glc	PELW	3	3	-0.6002738814232118	2	0.609
MAG201_contig_476_90	tpm	Glc	PELW	3	3	-3.9519269132929016	2	0.0585
MAG202_contig_1115_12	tpm	Glc	PELW	3	3	-0.8802713139911549	2	0.472
MAG202_contig_1115_5	tpm	Glc	PELW	3	3	-0.7546014907616013	2	0.529
MAG202_contig_1205_15	tpm	Glc	PELW	3	3	2.897995508280721	2	0.101
MAG202_contig_1205_16	tpm	Glc	PELW	3	3	1.9581269648571884	2	0.189
MAG202_contig_1205_17	tpm	Glc	PELW	3	3	5.173519338297528	2	0.0354
MAG202_contig_1205_18	tpm	Glc	PELW	3	3	2.5443466512425585	2	0.126
MAG202_contig_1205_9	tpm	Glc	PELW	3	3	2.148673820273958	2	0.165
MAG202_contig_1328_16	tpm	Glc	PELW	3	3	1.5869090664204777	2	0.253
MAG202_contig_1328_20	tpm	Glc	PELW	3	3	1.8337623050553185	2	0.208
MAG202_contig_1328_28	tpm	Glc	PELW	3	3	0.5118861470463919	2	0.66
MAG202_contig_1343_3	tpm	Glc	PELW	3	3	1.2110665487594943	2	0.35
MAG202_contig_1410_29	tpm	Glc	PELW	3	3	0.1768710519430732	2	0.876
MAG202_contig_1419_1	tpm	Glc	PELW	3	3	-0.7046316674595033	2	0.554
MAG202_contig_1422_4	tpm	Glc	PELW	3	3	0.018086462517327012	2	0.987
MAG202_contig_1496_9	tpm	Glc	PELW	3	3	19.968173619950555	2	0.0025
MAG202_contig_1531_38	tpm	Glc	PELW	3	3	4.025589164334726	2	0.0565
MAG202_contig_1579_21	tpm	Glc	PELW	3	3	1.1264657400189437	2	0.377
MAG202_contig_1579_34	tpm	Glc	PELW	3	3	1.1866870844450332	2	0.357
MAG202_contig_1579_45	tpm	Glc	PELW	3	3	0.6381020429387144	2	0.589
MAG202_contig_1579_48	tpm	Glc	PELW	3	3	3.54093380183773	2	0.0713
MAG202_contig_1702_10	tpm	Glc	PELW	3	3	1.0370000719047279	2	0.409
MAG202_contig_1705_23	tpm	Glc	PELW	3	3	0.6686398824340364	2	0.573
MAG202_contig_1705_40	tpm	Glc	PELW	3	3	0.8347451329138509	2	0.492
MAG202_contig_284_17	tpm	Glc	PELW	3	3	0.5655490359496261	2	0.629
MAG202_contig_284_2	tpm	Glc	PELW	3	3	-2.2702247372204374	2	0.151
MAG202_contig_284_20	tpm	Glc	PELW	3	3	0.45356394825560276	2	0.695
MAG202_contig_284_30	tpm	Glc	PELW	3	3	-1.3106838216589328e-4	2	1
MAG202_contig_304_4	tpm	Glc	PELW	3	3	-0.5525349113734966	2	0.636
MAG202_contig_504_11	tpm	Glc	PELW	3	3	0.059018405546891896	2	0.958
MAG202_contig_638_15	tpm	Glc	PELW	3	3	0.8594542728523352	2	0.481
MAG202_contig_638_20	tpm	Glc	PELW	3	3	1.4644045993886035	2	0.281
MAG202_contig_638_24	tpm	Glc	PELW	3	3	0.022268203125112067	2	0.984
MAG202_contig_638_30	tpm	Glc	PELW	3	3	0.002335500984194535	2	0.998
MAG202_contig_638_32	tpm	Glc	PELW	3	3	4.483562991690807	2	0.0463
MAG202_contig_638_38	tpm	Glc	PELW	3	3	0.8470106462242926	2	0.486
MAG202_contig_638_39	tpm	Glc	PELW	3	3	0.9486341437640241	2	0.443
MAG202_contig_638_44	tpm	Glc	PELW	3	3	-0.3608698434714693	2	0.753
MAG202_contig_948_1	tpm	Glc	PELW	3	3	-0.46997379899275754	2	0.685
MAG203_contig_1190_14	tpm	Glc	PELW	3	3	5.702842896505438	2	0.0294
MAG203_contig_1231_2	tpm	Glc	PELW	3	3	2.2529183387346943	2	0.153
MAG203_contig_1249_50	tpm	Glc	PELW	3	3	4.9824492706771855	2	0.038
MAG203_contig_1337_36	tpm	Glc	PELW	3	3	1.6559817667703833	2	0.24
MAG203_contig_1358_7	tpm	Glc	PELW	3	3	1.9319822605873658	2	0.193
MAG203_contig_1491_6	tpm	Glc	PELW	3	3	1.5067126210224964	2	0.271
MAG203_contig_1578_18	tpm	Glc	PELW	3	3	6.367943209549716	2	0.0238
MAG203_contig_1624_11	tpm	Glc	PELW	3	3	-0.11051339732931888	2	0.922
MAG203_contig_1624_8	tpm	Glc	PELW	3	3	1.300068839816021	2	0.323
MAG203_contig_1625_2	tpm	Glc	PELW	3	3	1.214803181060257	2	0.348
MAG203_contig_166_55	tpm	Glc	PELW	3	3	0.4451418705538105	2	0.7
MAG203_contig_1673_25	tpm	Glc	PELW	3	3	-10.705827524191587	2	0.00861
MAG203_contig_1779_5	tpm	Glc	PELW	3	3	9.439231800862453	2	0.011
MAG203_contig_1781_104	tpm	Glc	PELW	3	3	0.8536370146573241	2	0.483
MAG203_contig_1781_131	tpm	Glc	PELW	3	3	1.4142300482583534	2	0.293
MAG203_contig_1781_96	tpm	Glc	PELW	3	3	-0.5994871936851748	2	0.61
MAG203_contig_209_42	tpm	Glc	PELW	3	3	-0.3837064176139073	2	0.738
MAG203_contig_285_15	tpm	Glc	PELW	3	3	-0.43258221390428814	2	0.707
MAG203_contig_294_15	tpm	Glc	PELW	3	3	1.1633478615233808	2	0.365
MAG203_contig_314_36	tpm	Glc	PELW	3	3	-2.5055302933659647	2	0.129
MAG203_contig_314_4	tpm	Glc	PELW	3	3	1.5602101746856802	2	0.259
MAG203_contig_367_131	tpm	Glc	PELW	3	3	-0.22222808207860625	2	0.845
MAG203_contig_367_132	tpm	Glc	PELW	3	3	-2.0882877649736407	2	0.172
MAG203_contig_367_134	tpm	Glc	PELW	3	3	-0.3693937931341094	2	0.747
