transcript_id	.y.	group1	group2	n1	n2	statistic	df	p
MAG13001_contig_168_335	tpm	C30	Glc	3	3	5.275941991604583	2	0.0341
MAG13001_contig_168_336	tpm	C30	Glc	3	3	5.2692818455501484	2	0.0342
MAG13001_contig_168_710	tpm	C30	Glc	3	3	-1.4846383345222185	2	0.276
MAG13001_contig_229_1005	tpm	C30	Glc	3	3	-4.100844346346015	2	0.0546
MAG13001_contig_229_110	tpm	C30	Glc	3	3	1.4896250275437743	2	0.275
MAG13001_contig_229_1786	tpm	C30	Glc	3	3	18.256989275842773	2	0.00299
MAG13001_contig_229_308	tpm	C30	Glc	3	3	-6.34786658132882	2	0.0239
MAG13001_contig_229_502	tpm	C30	Glc	3	3	-2.176013855843283	2	0.162
MAG13001_contig_229_64	tpm	C30	Glc	3	3	0.31999169150805057	2	0.779
MAG13001_contig_229_883	tpm	C30	Glc	3	3	1.7519442082525802	2	0.222
MAG13001_contig_229_906	tpm	C30	Glc	3	3	-1.3758026923370805	2	0.303
MAG13001_contig_351_1258	tpm	C30	Glc	3	3	-3.846672577770326	2	0.0614
MAG13001_contig_351_1384	tpm	C30	Glc	3	3	1.964480443442263	2	0.188
MAG13001_contig_532_275	tpm	C30	Glc	3	3	2.4793742225993594	2	0.131
MAG13001_contig_532_374	tpm	C30	Glc	3	3	1.1131617613128675	2	0.381
MAG13001_contig_713_61	tpm	C30	Glc	3	3	7.770763718791948	2	0.0162
MAG13002_contig_437_318	tpm	C30	Glc	3	3	0.767922661989969	2	0.523
MAG13003_contig_24_1	tpm	C30	Glc	3	3	10.372268646864512	2	0.00917
MAG13003_contig_24_10	tpm	C30	Glc	3	3	19.17716406176523	2	0.00271
MAG13003_contig_24_100	tpm	C30	Glc	3	3	6.500842769418152	2	0.0229
MAG13003_contig_24_1000	tpm	C30	Glc	3	3	8.744328361733242	2	0.0128
MAG13003_contig_24_1001	tpm	C30	Glc	3	3	12.603422208234782	2	0.00624
MAG13003_contig_24_1002	tpm	C30	Glc	3	3	10.256558892100074	2	0.00937
MAG13003_contig_24_1003	tpm	C30	Glc	3	3	6.687376447952324	2	0.0216
MAG13003_contig_24_1004	tpm	C30	Glc	3	3	17.94350981938944	2	0.00309
MAG13003_contig_24_1005	tpm	C30	Glc	3	3	16.31065251004246	2	0.00374
MAG13003_contig_24_1006	tpm	C30	Glc	3	3	68.34139074191052	2	2.14e-4
MAG13003_contig_24_1007	tpm	C30	Glc	3	3	7.077638732847281	2	0.0194
MAG13003_contig_24_1008	tpm	C30	Glc	3	3	9.645442156387526	2	0.0106
MAG13003_contig_24_1009	tpm	C30	Glc	3	3	8.689777072546875	2	0.013
MAG13003_contig_24_101	tpm	C30	Glc	3	3	8.866772901292295	2	0.0125
MAG13003_contig_24_1010	tpm	C30	Glc	3	3	10.10599329081543	2	0.00965
MAG13003_contig_24_1011	tpm	C30	Glc	3	3	6.868429572585088	2	0.0205
MAG13003_contig_24_1012	tpm	C30	Glc	3	3	8.819501643869778	2	0.0126
MAG13003_contig_24_1013	tpm	C30	Glc	3	3	9.27553496247543	2	0.0114
MAG13003_contig_24_1014	tpm	C30	Glc	3	3	14.630838390639036	2	0.00464
MAG13003_contig_24_1015	tpm	C30	Glc	3	3	12.458811616261494	2	0.00638
MAG13003_contig_24_1016	tpm	C30	Glc	3	3	40.972854587736435	2	5.95e-4
MAG13003_contig_24_1017	tpm	C30	Glc	3	3	41.24021660018086	2	5.87e-4
MAG13003_contig_24_1018	tpm	C30	Glc	3	3	16.9194206326925	2	0.00348
MAG13003_contig_24_102	tpm	C30	Glc	3	3	14.495019291039606	2	0.00473
MAG13003_contig_24_1021	tpm	C30	Glc	3	3	7.729363586556941	2	0.0163
MAG13003_contig_24_1022	tpm	C30	Glc	3	3	9.083735319414357	2	0.0119
MAG13003_contig_24_1023	tpm	C30	Glc	3	3	7.741685172851486	2	0.0163
MAG13003_contig_24_1024	tpm	C30	Glc	3	3	7.564486089039524	2	0.017
MAG13003_contig_24_1025	tpm	C30	Glc	3	3	5.892741649060146	2	0.0276
MAG13003_contig_24_1026	tpm	C30	Glc	3	3	10.305037577797256	2	0.00929
MAG13003_contig_24_1027	tpm	C30	Glc	3	3	12.188155392745882	2	0.00666
MAG13003_contig_24_1028	tpm	C30	Glc	3	3	12.531843062858961	2	0.00631
MAG13003_contig_24_1029	tpm	C30	Glc	3	3	14.738145989764337	2	0.00457
MAG13003_contig_24_103	tpm	C30	Glc	3	3	10.55379593509344	2	0.00886
MAG13003_contig_24_1030	tpm	C30	Glc	3	3	9.370972151796261	2	0.0112
