transcript_id	.y.	group1	group2	n1	n2	statistic	df	p
MAG24001_contig_6_1013	tpm	C40	Glc	3	3	0.28050858478974444	2	0.805
MAG24001_contig_6_1034	tpm	C40	Glc	3	3	-5.4070746054175425	2	0.0325
MAG24001_contig_6_1100	tpm	C40	Glc	3	3	-9.577264854273352	2	0.0107
MAG24001_contig_6_1194	tpm	C40	Glc	3	3	2.119214283365403	2	0.168
MAG24001_contig_6_1231	tpm	C40	Glc	3	3	0.673336413445802	2	0.57
MAG24001_contig_6_1245	tpm	C40	Glc	3	3	-2.9236546739425373	2	0.0998
MAG24001_contig_6_15	tpm	C40	Glc	3	3	-3.09687638213998	2	0.0904
MAG24001_contig_6_16	tpm	C40	Glc	3	3	2.995839808349394	2	0.0957
MAG24001_contig_6_1702	tpm	C40	Glc	3	3	0.4155665354167355	2	0.718
MAG24001_contig_6_1765	tpm	C40	Glc	3	3	-0.5470983070038372	2	0.639
MAG24001_contig_6_1780	tpm	C40	Glc	3	3	0.2788658697435306	2	0.807
MAG24001_contig_6_1876	tpm	C40	Glc	3	3	-0.39990695067671805	2	0.728
MAG24001_contig_6_20	tpm	C40	Glc	3	3	-0.1200849139316331	2	0.915
MAG24001_contig_6_2067	tpm	C40	Glc	3	3	0.13494877030383598	2	0.905
MAG24001_contig_6_255	tpm	C40	Glc	3	3	1.4446280974285408	2	0.285
MAG24001_contig_6_2584	tpm	C40	Glc	3	3	-1.6528455189942752	2	0.24
MAG24001_contig_6_2712	tpm	C40	Glc	3	3	1.4567705536210787	2	0.282
MAG24001_contig_6_3148	tpm	C40	Glc	3	3	0.5180028573778537	2	0.656
MAG24001_contig_6_3213	tpm	C40	Glc	3	3	-0.14478443756538556	2	0.898
MAG24001_contig_6_3230	tpm	C40	Glc	3	3	0.577479823882486	2	0.622
MAG24001_contig_6_3267	tpm	C40	Glc	3	3	2.6937569055506136	2	0.115
MAG24001_contig_6_331	tpm	C40	Glc	3	3	-1.030624634794839	2	0.411
MAG24001_contig_6_3398	tpm	C40	Glc	3	3	0.7167982628102512	2	0.548
MAG24001_contig_6_3454	tpm	C40	Glc	3	3	-0.014436416102704642	2	0.99
MAG24001_contig_6_3573	tpm	C40	Glc	3	3	-2.335256222844761	2	0.145
MAG24001_contig_6_3603	tpm	C40	Glc	3	3	-1.0194928993397943	2	0.415
